"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2017","Reapplier","18","Man","Not EU","40"
"2018","Reapplier","18","Man","Not EU","40"
"2019","Reapplier","18","Man","Not EU","50"
"2020","Reapplier","18","Man","Not EU","60"
"2021","Reapplier","18","Man","Not EU","80"
"2022","Reapplier","18","Man","Not EU","70"
"2023","Reapplier","18","Man","Not EU","60"
"2024","Reapplier","18","Man","Not EU","40"
"2025","Reapplier","18","Man","Not EU","70"
"2026","Reapplier","18","Man","Not EU","80"
"2017","First time applicant","19","Man","Not EU","1230"
"2018","First time applicant","19","Man","Not EU","1220"
"2019","First time applicant","19","Man","Not EU","1340"
"2020","First time applicant","19","Man","Not EU","1400"
"2021","First time applicant","19","Man","Not EU","1640"
"2022","First time applicant","19","Man","Not EU","1470"
"2023","First time applicant","19","Man","Not EU","1380"
"2024","First time applicant","19","Man","Not EU","1420"
"2025","First time applicant","19","Man","Not EU","1450"
"2026","First time applicant","19","Man","Not EU","1660"
"2017","Reapplier","19","Man","Not EU","130"
"2018","Reapplier","19","Man","Not EU","140"
"2019","Reapplier","19","Man","Not EU","170"
"2020","Reapplier","19","Man","Not EU","170"
"2021","Reapplier","19","Man","Not EU","320"
"2022","Reapplier","19","Man","Not EU","300"
"2023","Reapplier","19","Man","Not EU","260"
"2024","Reapplier","19","Man","Not EU","220"
"2025","Reapplier","19","Man","Not EU","210"
"2026","Reapplier","19","Man","Not EU","240"
"2017","First time applicant","20","Man","Not EU","500"
"2018","First time applicant","20","Man","Not EU","540"
"2019","First time applicant","20","Man","Not EU","500"
"2020","First time applicant","20","Man","Not EU","560"
"2021","First time applicant","20","Man","Not EU","530"
"2022","First time applicant","20","Man","Not EU","560"
"2023","First time applicant","20","Man","Not EU","550"
"2024","First time applicant","20","Man","Not EU","600"
"2025","First time applicant","20","Man","Not EU","560"
"2026","First time applicant","20","Man","Not EU","580"
"2017","Reapplier","20","Man","Not EU","120"
"2018","Reapplier","20","Man","Not EU","130"
"2019","Reapplier","20","Man","Not EU","120"
"2020","Reapplier","20","Man","Not EU","140"
"2021","Reapplier","20","Man","Not EU","190"
"2022","Reapplier","20","Man","Not EU","170"
"2023","Reapplier","20","Man","Not EU","150"
"2024","Reapplier","20","Man","Not EU","120"
"2025","Reapplier","20","Man","Not EU","160"
"2026","Reapplier","20","Man","Not EU","130"
"2017","First time applicant","21 - 24","Man","Not EU","350"
"2018","First time applicant","21 - 24","Man","Not EU","420"
"2019","First time applicant","21 - 24","Man","Not EU","350"
"2020","First time applicant","21 - 24","Man","Not EU","370"
"2021","First time applicant","21 - 24","Man","Not EU","390"
"2022","First time applicant","21 - 24","Man","Not EU","350"
"2023","First time applicant","21 - 24","Man","Not EU","360"
"2024","First time applicant","21 - 24","Man","Not EU","350"
"2025","First time applicant","21 - 24","Man","Not EU","390"
"2026","First time applicant","21 - 24","Man","Not EU","380"
"2017","Reapplier","21 - 24","Man","Not EU","110"
"2018","Reapplier","21 - 24","Man","Not EU","100"
"2019","Reapplier","21 - 24","Man","Not EU","100"
"2020","Reapplier","21 - 24","Man","Not EU","110"
"2021","Reapplier","21 - 24","Man","Not EU","150"
"2022","Reapplier","21 - 24","Man","Not EU","150"
"2023","Reapplier","21 - 24","Man","Not EU","130"
"2024","Reapplier","21 - 24","Man","Not EU","120"
"2025","Reapplier","21 - 24","Man","Not EU","130"
"2026","Reapplier","21 - 24","Man","Not EU","140"
"2017","First time applicant","25 - 29","Man","Not EU","90"
"2018","First time applicant","25 - 29","Man","Not EU","80"
"2019","First time applicant","25 - 29","Man","Not EU","80"
"2020","First time applicant","25 - 29","Man","Not EU","90"
"2021","First time applicant","25 - 29","Man","Not EU","90"
"2022","First time applicant","25 - 29","Man","Not EU","100"
"2023","First time applicant","25 - 29","Man","Not EU","80"
"2024","First time applicant","25 - 29","Man","Not EU","80"
"2025","First time applicant","25 - 29","Man","Not EU","70"
"2026","First time applicant","25 - 29","Man","Not EU","80"
"2017","Reapplier","25 - 29","Man","Not EU","20"
"2018","Reapplier","25 - 29","Man","Not EU","20"
"2019","Reapplier","25 - 29","Man","Not EU","20"
"2020","Reapplier","25 - 29","Man","Not EU","20"
"2021","Reapplier","25 - 29","Man","Not EU","30"
"2022","Reapplier","25 - 29","Man","Not EU","30"
"2023","Reapplier","25 - 29","Man","Not EU","20"
"2024","Reapplier","25 - 29","Man","Not EU","10"
"2025","Reapplier","25 - 29","Man","Not EU","20"
"2026","Reapplier","25 - 29","Man","Not EU","10"
"2017","First time applicant","30 - 34","Man","Not EU","20"
"2018","First time applicant","30 - 34","Man","Not EU","20"
"2019","First time applicant","30 - 34","Man","Not EU","20"
"2020","First time applicant","30 - 34","Man","Not EU","20"
"2021","First time applicant","30 - 34","Man","Not EU","20"
"2022","First time applicant","30 - 34","Man","Not EU","30"
"2023","First time applicant","30 - 34","Man","Not EU","30"
"2024","First time applicant","30 - 34","Man","Not EU","20"
"2025","First time applicant","30 - 34","Man","Not EU","20"
"2026","First time applicant","30 - 34","Man","Not EU","20"
"2017","Reapplier","30 - 34","Man","Not EU","10"
"2018","Reapplier","30 - 34","Man","Not EU","10"
"2019","Reapplier","30 - 34","Man","Not EU","10"
"2021","Reapplier","30 - 34","Man","Not EU","10"
"2023","Reapplier","30 - 34","Man","Not EU","10"
"2024","Reapplier","30 - 34","Man","Not EU","10"
"2025","Reapplier","30 - 34","Man","Not EU","10"
"2017","First time applicant","35 and over","Man","Not EU","20"
"2018","First time applicant","35 and over","Man","Not EU","10"
"2019","First time applicant","35 and over","Man","Not EU","20"
"2020","First time applicant","35 and over","Man","Not EU","10"
"2021","First time applicant","35 and over","Man","Not EU","20"
"2022","First time applicant","35 and over","Man","Not EU","20"
"2023","First time applicant","35 and over","Man","Not EU","20"
"2024","First time applicant","35 and over","Man","Not EU","20"
"2025","First time applicant","35 and over","Man","Not EU","10"
"2026","First time applicant","35 and over","Man","Not EU","20"
"2018","Reapplier","35 and over","Man","Not EU","10"
"2021","Reapplier","35 and over","Man","Not EU","10"
"2023","Reapplier","35 and over","Man","Not EU","10"
"2024","Reapplier","35 and over","Man","Not EU","10"
"2025","Reapplier","35 and over","Man","Not EU","10"
"2024","First time applicant","17 and under","I use another term","Not EU","10"
"2025","First time applicant","17 and under","I use another term","Not EU","10"
"2026","First time applicant","17 and under","I use another term","Not EU","10"
"2024","First time applicant","18","I use another term","Not EU","40"
"2025","First time applicant","18","I use another term","Not EU","40"
"2026","First time applicant","18","I use another term","Not EU","30"
"2024","First time applicant","19","I use another term","Not EU","10"
"2025","First time applicant","19","I use another term","Not EU","10"
"2026","First time applicant","19","I use another term","Not EU","10"
"2026","First time applicant","21 - 24","I use another term","Not EU","10"
"2024","First time applicant","17 and under","I prefer not to say","Not EU","10"
"2025","First time applicant","17 and under","I prefer not to say","Not EU","10"
"2026","First time applicant","17 and under","I prefer not to say","Not EU","10"
"2024","First time applicant","18","I prefer not to say","Not EU","50"
"2025","First time applicant","18","I prefer not to say","Not EU","60"
"2026","First time applicant","18","I prefer not to say","Not EU","70"
"2024","First time applicant","19","I prefer not to say","Not EU","10"
"2025","First time applicant","19","I prefer not to say","Not EU","10"
"2026","First time applicant","19","I prefer not to say","Not EU","10"
"2025","First time applicant","20","I prefer not to say","Not EU","10"
"2026","First time applicant","20","I prefer not to say","Not EU","10"
"2024","Reapplier","20","I prefer not to say","Not EU","10"
"2017","First time applicant","17 and under","Woman","EU (excluding UK)","410"
"2018","First time applicant","17 and under","Woman","EU (excluding UK)","420"
"2019","First time applicant","17 and under","Woman","EU (excluding UK)","420"
"2020","First time applicant","17 and under","Woman","EU (excluding UK)","460"
"2021","First time applicant","17 and under","Woman","EU (excluding UK)","420"
"2022","First time applicant","17 and under","Woman","EU (excluding UK)","360"
"2023","First time applicant","17 and under","Woman","EU (excluding UK)","300"
"2024","First time applicant","17 and under","Woman","EU (excluding UK)","290"
"2025","First time applicant","17 and under","Woman","EU (excluding UK)","260"
"2026","First time applicant","17 and under","Woman","EU (excluding UK)","260"
"2017","First time applicant","18","Woman","EU (excluding UK)","1480"
"2018","First time applicant","18","Woman","EU (excluding UK)","1580"
"2019","First time applicant","18","Woman","EU (excluding UK)","1580"
"2020","First time applicant","18","Woman","EU (excluding UK)","1550"
"2021","First time applicant","18","Woman","EU (excluding UK)","1450"
"2022","First time applicant","18","Woman","EU (excluding UK)","1190"
"2023","First time applicant","18","Woman","EU (excluding UK)","1090"
"2024","First time applicant","18","Woman","EU (excluding UK)","1080"
"2025","First time applicant","18","Woman","EU (excluding UK)","1100"
"2026","First time applicant","18","Woman","EU (excluding UK)","1180"
"2017","Reapplier","18","Woman","EU (excluding UK)","40"
"2018","Reapplier","18","Woman","EU (excluding UK)","20"
"2019","Reapplier","18","Woman","EU (excluding UK)","30"
"2020","Reapplier","18","Woman","EU (excluding UK)","20"
"2021","Reapplier","18","Woman","EU (excluding UK)","20"
"2022","Reapplier","18","Woman","EU (excluding UK)","20"
"2023","Reapplier","18","Woman","EU (excluding UK)","20"
"2024","Reapplier","18","Woman","EU (excluding UK)","20"
"2025","Reapplier","18","Woman","EU (excluding UK)","10"
"2026","Reapplier","18","Woman","EU (excluding UK)","10"
"2017","First time applicant","19","Woman","EU (excluding UK)","870"
"2018","First time applicant","19","Woman","EU (excluding UK)","940"
"2019","First time applicant","19","Woman","EU (excluding UK)","950"
"2020","First time applicant","19","Woman","EU (excluding UK)","860"
"2021","First time applicant","19","Woman","EU (excluding UK)","650"
"2022","First time applicant","19","Woman","EU (excluding UK)","540"
"2023","First time applicant","19","Woman","EU (excluding UK)","510"
"2024","First time applicant","19","Woman","EU (excluding UK)","430"
"2025","First time applicant","19","Woman","EU (excluding UK)","510"
"2026","First time applicant","19","Woman","EU (excluding UK)","490"
"2017","Reapplier","19","Woman","EU (excluding UK)","80"
"2018","Reapplier","19","Woman","EU (excluding UK)","100"
"2019","Reapplier","19","Woman","EU (excluding UK)","90"
"2020","Reapplier","19","Woman","EU (excluding UK)","90"
"2021","Reapplier","19","Woman","EU (excluding UK)","70"
"2022","Reapplier","19","Woman","EU (excluding UK)","70"
"2023","Reapplier","19","Woman","EU (excluding UK)","60"
"2024","Reapplier","19","Woman","EU (excluding UK)","40"
"2025","Reapplier","19","Woman","EU (excluding UK)","40"
"2026","Reapplier","19","Woman","EU (excluding UK)","40"
"2017","First time applicant","20","Woman","EU (excluding UK)","180"
"2018","First time applicant","20","Woman","EU (excluding UK)","150"
"2019","First time applicant","20","Woman","EU (excluding UK)","170"
"2020","First time applicant","20","Woman","EU (excluding UK)","170"
"2021","First time applicant","20","Woman","EU (excluding UK)","100"
"2022","First time applicant","20","Woman","EU (excluding UK)","80"
"2023","First time applicant","20","Woman","EU (excluding UK)","90"
"2024","First time applicant","20","Woman","EU (excluding UK)","80"
"2025","First time applicant","20","Woman","EU (excluding UK)","60"
"2026","First time applicant","20","Woman","EU (excluding UK)","70"
"2017","Reapplier","20","Woman","EU (excluding UK)","60"
"2018","Reapplier","20","Woman","EU (excluding UK)","60"
"2019","Reapplier","20","Woman","EU (excluding UK)","60"
"2020","Reapplier","20","Woman","EU (excluding UK)","50"
"2021","Reapplier","20","Woman","EU (excluding UK)","60"
"2022","Reapplier","20","Woman","EU (excluding UK)","30"
"2023","Reapplier","20","Woman","EU (excluding UK)","20"
"2024","Reapplier","20","Woman","EU (excluding UK)","20"
"2025","Reapplier","20","Woman","EU (excluding UK)","20"
"2026","Reapplier","20","Woman","EU (excluding UK)","20"
"2017","First time applicant","21 - 24","Woman","EU (excluding UK)","220"
"2018","First time applicant","21 - 24","Woman","EU (excluding UK)","210"
"2019","First time applicant","21 - 24","Woman","EU (excluding UK)","230"
"2020","First time applicant","21 - 24","Woman","EU (excluding UK)","270"
"2021","First time applicant","21 - 24","Woman","EU (excluding UK)","190"
"2022","First time applicant","21 - 24","Woman","EU (excluding UK)","180"
"2023","First time applicant","21 - 24","Woman","EU (excluding UK)","120"
"2024","First time applicant","21 - 24","Woman","EU (excluding UK)","130"
"2025","First time applicant","21 - 24","Woman","EU (excluding UK)","120"
"2026","First time applicant","21 - 24","Woman","EU (excluding UK)","140"
"2017","Reapplier","21 - 24","Woman","EU (excluding UK)","30"
"2018","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2019","Reapplier","21 - 24","Woman","EU (excluding UK)","50"
"2020","Reapplier","21 - 24","Woman","EU (excluding UK)","40"
"2021","Reapplier","21 - 24","Woman","EU (excluding UK)","50"
"2022","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2023","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2024","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2025","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2026","Reapplier","21 - 24","Woman","EU (excluding UK)","20"
"2017","First time applicant","25 - 29","Woman","EU (excluding UK)","40"
"2018","First time applicant","25 - 29","Woman","EU (excluding UK)","50"
"2019","First time applicant","25 - 29","Woman","EU (excluding UK)","50"
"2020","First time applicant","25 - 29","Woman","EU (excluding UK)","50"
"2021","First time applicant","25 - 29","Woman","EU (excluding UK)","50"
"2022","First time applicant","25 - 29","Woman","EU (excluding UK)","40"
"2023","First time applicant","25 - 29","Woman","EU (excluding UK)","30"
"2024","First time applicant","25 - 29","Woman","EU (excluding UK)","40"
"2025","First time applicant","25 - 29","Woman","EU (excluding UK)","30"
"2026","First time applicant","25 - 29","Woman","EU (excluding UK)","50"
"2017","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2018","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2019","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2020","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2021","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2022","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2023","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2024","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2025","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2026","Reapplier","25 - 29","Woman","EU (excluding UK)","10"
"2017","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2018","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2019","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2020","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2021","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2022","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2023","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2024","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2025","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2026","First time applicant","30 - 34","Woman","EU (excluding UK)","10"
"2017","First time applicant","35 and over","Woman","EU (excluding UK)","10"
"2018","First time applicant","35 and over","Woman","EU (excluding UK)","10"
"2021","First time applicant","35 and over","Woman","EU (excluding UK)","10"
"2023","First time applicant","35 and over","Woman","EU (excluding UK)","10"
"2026","First time applicant","35 and over","Woman","EU (excluding UK)","10"
"2017","First time applicant","17 and under","Man","EU (excluding UK)","280"
"2018","First time applicant","17 and under","Man","EU (excluding UK)","310"
"2019","First time applicant","17 and under","Man","EU (excluding UK)","270"
"2020","First time applicant","17 and under","Man","EU (excluding UK)","270"
"2021","First time applicant","17 and under","Man","EU (excluding UK)","220"
"2022","First time applicant","17 and under","Man","EU (excluding UK)","230"
"2023","First time applicant","17 and under","Man","EU (excluding UK)","210"
"2024","First time applicant","17 and under","Man","EU (excluding UK)","190"
"2025","First time applicant","17 and under","Man","EU (excluding UK)","200"
"2026","First time applicant","17 and under","Man","EU (excluding UK)","200"
"2017","First time applicant","18","Man","EU (excluding UK)","1130"
"2018","First time applicant","18","Man","EU (excluding UK)","1220"
"2019","First time applicant","18","Man","EU (excluding UK)","1250"
"2020","First time applicant","18","Man","EU (excluding UK)","1260"
"2021","First time applicant","18","Man","EU (excluding UK)","990"
"2022","First time applicant","18","Man","EU (excluding UK)","820"
"2023","First time applicant","18","Man","EU (excluding UK)","760"
"2024","First time applicant","18","Man","EU (excluding UK)","750"
"2025","First time applicant","18","Man","EU (excluding UK)","750"
"2026","First time applicant","18","Man","EU (excluding UK)","850"
"2017","Reapplier","18","Man","EU (excluding UK)","20"
"2018","Reapplier","18","Man","EU (excluding UK)","20"
"2019","Reapplier","18","Man","EU (excluding UK)","30"
"2020","Reapplier","18","Man","EU (excluding UK)","20"
"2021","Reapplier","18","Man","EU (excluding UK)","20"
"2022","Reapplier","18","Man","EU (excluding UK)","30"
"2023","Reapplier","18","Man","EU (excluding UK)","20"
"2024","Reapplier","18","Man","EU (excluding UK)","20"
"2025","Reapplier","18","Man","EU (excluding UK)","10"
"2026","Reapplier","18","Man","EU (excluding UK)","10"
"2017","First time applicant","19","Man","EU (excluding UK)","810"
"2018","First time applicant","19","Man","EU (excluding UK)","900"
"2019","First time applicant","19","Man","EU (excluding UK)","820"
"2020","First time applicant","19","Man","EU (excluding UK)","830"
"2021","First time applicant","19","Man","EU (excluding UK)","540"
"2022","First time applicant","19","Man","EU (excluding UK)","410"
"2023","First time applicant","19","Man","EU (excluding UK)","370"
"2024","First time applicant","19","Man","EU (excluding UK)","370"
"2025","First time applicant","19","Man","EU (excluding UK)","340"
"2026","First time applicant","19","Man","EU (excluding UK)","320"
"2017","Reapplier","19","Man","EU (excluding UK)","80"
"2018","Reapplier","19","Man","EU (excluding UK)","100"
"2019","Reapplier","19","Man","EU (excluding UK)","100"
"2020","Reapplier","19","Man","EU (excluding UK)","100"
"2021","Reapplier","19","Man","EU (excluding UK)","70"
"2022","Reapplier","19","Man","EU (excluding UK)","60"
"2023","Reapplier","19","Man","EU (excluding UK)","50"
"2024","Reapplier","19","Man","EU (excluding UK)","40"
"2025","Reapplier","19","Man","EU (excluding UK)","40"
"2026","Reapplier","19","Man","EU (excluding UK)","40"
"2017","First time applicant","20","Man","EU (excluding UK)","160"
"2018","First time applicant","20","Man","EU (excluding UK)","180"
"2019","First time applicant","20","Man","EU (excluding UK)","170"
"2020","First time applicant","20","Man","EU (excluding UK)","130"
"2021","First time applicant","20","Man","EU (excluding UK)","100"
"2022","First time applicant","20","Man","EU (excluding UK)","70"
"2023","First time applicant","20","Man","EU (excluding UK)","70"
"2024","First time applicant","20","Man","EU (excluding UK)","50"
"2025","First time applicant","20","Man","EU (excluding UK)","50"
"2026","First time applicant","20","Man","EU (excluding UK)","70"
"2017","Reapplier","20","Man","EU (excluding UK)","80"
"2018","Reapplier","20","Man","EU (excluding UK)","50"
"2019","Reapplier","20","Man","EU (excluding UK)","80"
"2020","Reapplier","20","Man","EU (excluding UK)","60"
"2021","Reapplier","20","Man","EU (excluding UK)","60"
"2022","Reapplier","20","Man","EU (excluding UK)","50"
"2023","Reapplier","20","Man","EU (excluding UK)","30"
"2024","Reapplier","20","Man","EU (excluding UK)","20"
"2025","Reapplier","20","Man","EU (excluding UK)","20"
"2026","Reapplier","20","Man","EU (excluding UK)","20"
"2017","First time applicant","21 - 24","Man","EU (excluding UK)","150"
"2018","First time applicant","21 - 24","Man","EU (excluding UK)","140"
"2019","First time applicant","21 - 24","Man","EU (excluding UK)","150"
"2020","First time applicant","21 - 24","Man","EU (excluding UK)","120"
"2021","First time applicant","21 - 24","Man","EU (excluding UK)","90"
"2022","First time applicant","21 - 24","Man","EU (excluding UK)","80"
"2023","First time applicant","21 - 24","Man","EU (excluding UK)","60"
"2024","First time applicant","21 - 24","Man","EU (excluding UK)","70"
"2025","First time applicant","21 - 24","Man","EU (excluding UK)","60"
"2026","First time applicant","21 - 24","Man","EU (excluding UK)","50"
"2017","Reapplier","21 - 24","Man","EU (excluding UK)","30"
"2018","Reapplier","21 - 24","Man","EU (excluding UK)","30"
"2019","Reapplier","21 - 24","Man","EU (excluding UK)","40"
"2020","Reapplier","21 - 24","Man","EU (excluding UK)","40"
"2021","Reapplier","21 - 24","Man","EU (excluding UK)","20"
"2022","Reapplier","21 - 24","Man","EU (excluding UK)","20"
"2023","Reapplier","21 - 24","Man","EU (excluding UK)","20"
"2024","Reapplier","21 - 24","Man","EU (excluding UK)","10"
"2025","Reapplier","21 - 24","Man","EU (excluding UK)","10"
"2026","Reapplier","21 - 24","Man","EU (excluding UK)","10"
"2017","First time applicant","25 - 29","Man","EU (excluding UK)","40"
"2018","First time applicant","25 - 29","Man","EU (excluding UK)","40"
"2019","First time applicant","25 - 29","Man","EU (excluding UK)","30"
"2020","First time applicant","25 - 29","Man","EU (excluding UK)","30"
"2021","First time applicant","25 - 29","Man","EU (excluding UK)","20"
"2022","First time applicant","25 - 29","Man","EU (excluding UK)","30"
"2023","First time applicant","25 - 29","Man","EU (excluding UK)","10"
"2024","First time applicant","25 - 29","Man","EU (excluding UK)","20"
"2025","First time applicant","25 - 29","Man","EU (excluding UK)","20"
"2026","First time applicant","25 - 29","Man","EU (excluding UK)","20"
"2017","Reapplier","25 - 29","Man","EU (excluding UK)","10"
"2018","Reapplier","25 - 29","Man","EU (excluding UK)","10"
"2020","Reapplier","25 - 29","Man","EU (excluding UK)","10"
"2023","Reapplier","25 - 29","Man","EU (excluding UK)","10"
"2026","Reapplier","25 - 29","Man","EU (excluding UK)","10"
"2017","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2018","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2019","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2020","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2021","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2023","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2024","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2025","First time applicant","30 - 34","Man","EU (excluding UK)","10"
"2017","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2018","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2019","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2020","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2023","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2026","First time applicant","35 and over","Man","EU (excluding UK)","10"
"2024","First time applicant","17 and under","I use another term","EU (excluding UK)","10"
"2024","First time applicant","18","I use another term","EU (excluding UK)","10"
"2024","First time applicant","18","I prefer not to say","EU (excluding UK)","10"
"2025","First time applicant","18","I prefer not to say","EU (excluding UK)","10"
"2018","All","17 and under","Woman","Northern Ireland","10"
"2020","All","17 and under","Woman","Northern Ireland","10"
"2022","All","17 and under","Woman","Northern Ireland","10"
"2017","All","18","Woman","Northern Ireland","420"
"2018","All","18","Woman","Northern Ireland","390"
"2019","All","18","Woman","Northern Ireland","420"
"2020","All","18","Woman","Northern Ireland","470"
"2021","All","18","Woman","Northern Ireland","520"
"2022","All","18","Woman","Northern Ireland","590"
"2023","All","18","Woman","Northern Ireland","470"
"2024","All","18","Woman","Northern Ireland","450"
"2025","All","18","Woman","Northern Ireland","410"
"2026","All","18","Woman","Northern Ireland","430"
"2017","All","19","Woman","Northern Ireland","70"
"2018","All","19","Woman","Northern Ireland","60"
"2019","All","19","Woman","Northern Ireland","60"
"2020","All","19","Woman","Northern Ireland","60"
"2021","All","19","Woman","Northern Ireland","70"
"2022","All","19","Woman","Northern Ireland","100"
"2023","All","19","Woman","Northern Ireland","110"
"2024","All","19","Woman","Northern Ireland","90"
"2025","All","19","Woman","Northern Ireland","90"
"2026","All","19","Woman","Northern Ireland","70"
"2017","All","20","Woman","Northern Ireland","10"
"2018","All","20","Woman","Northern Ireland","10"
"2019","All","20","Woman","Northern Ireland","10"
"2020","All","20","Woman","Northern Ireland","10"
"2021","All","20","Woman","Northern Ireland","10"
"2022","All","20","Woman","Northern Ireland","20"
"2023","All","20","Woman","Northern Ireland","10"
"2024","All","20","Woman","Northern Ireland","10"
"2025","All","20","Woman","Northern Ireland","10"
"2026","All","20","Woman","Northern Ireland","10"
"2017","All","21 - 24","Woman","Northern Ireland","60"
"2018","All","21 - 24","Woman","Northern Ireland","60"
"2019","All","21 - 24","Woman","Northern Ireland","60"
"2020","All","21 - 24","Woman","Northern Ireland","50"
"2021","All","21 - 24","Woman","Northern Ireland","70"
"2022","All","21 - 24","Woman","Northern Ireland","80"
"2023","All","21 - 24","Woman","Northern Ireland","70"
"2024","All","21 - 24","Woman","Northern Ireland","50"
"2025","All","21 - 24","Woman","Northern Ireland","70"
"2026","All","21 - 24","Woman","Northern Ireland","70"
"2017","All","25 - 29","Woman","Northern Ireland","10"
"2018","All","25 - 29","Woman","Northern Ireland","10"
"2019","All","25 - 29","Woman","Northern Ireland","10"
"2020","All","25 - 29","Woman","Northern Ireland","10"
"2021","All","25 - 29","Woman","Northern Ireland","20"
"2022","All","25 - 29","Woman","Northern Ireland","20"
"2023","All","25 - 29","Woman","Northern Ireland","20"
"2024","All","25 - 29","Woman","Northern Ireland","20"
"2025","All","25 - 29","Woman","Northern Ireland","20"
"2026","All","25 - 29","Woman","Northern Ireland","30"
"2020","All","30 - 34","Woman","Northern Ireland","10"
"2021","All","30 - 34","Woman","Northern Ireland","10"
"2022","All","30 - 34","Woman","Northern Ireland","10"
"2023","All","30 - 34","Woman","Northern Ireland","10"
"2025","All","30 - 34","Woman","Northern Ireland","10"
"2021","All","35 and over","Woman","Northern Ireland","10"
"2022","All","35 and over","Woman","Northern Ireland","10"
"2024","All","35 and over","Woman","Northern Ireland","10"
"2017","All","18","Man","Northern Ireland","270"
"2018","All","18","Man","Northern Ireland","290"
"2019","All","18","Man","Northern Ireland","290"
"2020","All","18","Man","Northern Ireland","280"
"2021","All","18","Man","Northern Ireland","280"
"2022","All","18","Man","Northern Ireland","300"
"2023","All","18","Man","Northern Ireland","290"
"2024","All","18","Man","Northern Ireland","290"
"2025","All","18","Man","Northern Ireland","280"
"2026","All","18","Man","Northern Ireland","250"
"2017","All","19","Man","Northern Ireland","50"
"2018","All","19","Man","Northern Ireland","40"
"2019","All","19","Man","Northern Ireland","30"
"2020","All","19","Man","Northern Ireland","50"
"2021","All","19","Man","Northern Ireland","50"
"2022","All","19","Man","Northern Ireland","50"
"2023","All","19","Man","Northern Ireland","70"
"2024","All","19","Man","Northern Ireland","50"
"2025","All","19","Man","Northern Ireland","40"
"2026","All","19","Man","Northern Ireland","40"
"2017","All","20","Man","Northern Ireland","10"
"2018","All","20","Man","Northern Ireland","10"
"2019","All","20","Man","Northern Ireland","10"
"2021","All","20","Man","Northern Ireland","10"
"2022","All","20","Man","Northern Ireland","10"
"2023","All","20","Man","Northern Ireland","10"
"2024","All","20","Man","Northern Ireland","10"
"2025","All","20","Man","Northern Ireland","10"
"2017","All","21 - 24","Man","Northern Ireland","40"
"2018","All","21 - 24","Man","Northern Ireland","40"
"2019","All","21 - 24","Man","Northern Ireland","30"
"2020","All","21 - 24","Man","Northern Ireland","30"
"2021","All","21 - 24","Man","Northern Ireland","40"
"2022","All","21 - 24","Man","Northern Ireland","40"
"2023","All","21 - 24","Man","Northern Ireland","40"
"2024","All","21 - 24","Man","Northern Ireland","30"
"2025","All","21 - 24","Man","Northern Ireland","30"
"2026","All","21 - 24","Man","Northern Ireland","40"
"2017","All","25 - 29","Man","Northern Ireland","10"
"2018","All","25 - 29","Man","Northern Ireland","10"
"2019","All","25 - 29","Man","Northern Ireland","10"
"2020","All","25 - 29","Man","Northern Ireland","10"
"2021","All","25 - 29","Man","Northern Ireland","10"
"2022","All","25 - 29","Man","Northern Ireland","30"
"2023","All","25 - 29","Man","Northern Ireland","10"
"2024","All","25 - 29","Man","Northern Ireland","10"
"2025","All","25 - 29","Man","Northern Ireland","10"
"2026","All","25 - 29","Man","Northern Ireland","20"
"2017","All","30 - 34","Man","Northern Ireland","10"
